Elevation,Chhis_H,Chhis_C,Diord_H,Diord_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Peman_H,Peman_C,Penas_H,Penas_C,Pefas_H,Pefas_C,Peflave_H,Peflave_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Remon_H,Remon_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Socin_H,Socin_C,Sohoy_H,Sohoy_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimon_H,Mimon_C,Mioch_H,Mioch_C,Mipen_H,Mipen_C,Phint_H,Phint_C,Calat_H,Calat_C,Ictri_H,Ictri_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taumb_H,Taumb_C,Urele_H,Urele_C,Xespi_H,Xespi_C
2400,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,3,0,15,13,21,11,0,0,3,19,17,4,0,0
2500,0,0,0,0,13,0,22,0,0,0,137,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,25,0,0,0,15,0,17,0,19,0,65,1,0,0,0,0,0,0,24,3,0,0,0,0,0,0,6,0,21,1,49,3,1,0,18,0,23,0,0,0
2600,0,0,0,0,3,1,0,0,0,0,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,14,0,0,0,4,5,0,0,1,0,3,4,1,1,17,2,0,0,0,0,0,0,2,7,0,0,1,0,0,0,2,2,7,4,7,11,2,1,3,4,5,0,0,0
2700,0,0,0,0,3,2,0,0,0,0,47,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,5,15,0,2,2,1,15,7,21,1,10,1,0,0,0,0,3,1,20,26,0,0,2,0,0,0,0,0,18,20,16,44,9,0,6,3,0,0,0,0
2800,0,0,0,0,11,4,0,0,0,0,79,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,25,10,0,1,0,0,15,7,0,0,23,2,24,5,11,2,0,16,0,0,0,0,5,0,21,28,0,0,0,0,0,0,0,0,21,29,31,28,0,0,11,11,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,3,8,4,0,0,1,5,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,6,21,0,0,0,4,0,0,0,0
3000,0,0,0,0,2,0,0,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,1,28,0,5,0,0,0,18,0,1,0,0,2,7,1,5,0,6,0,0,0,0,0,4,1,3,0,0,2,0,0,0,0,0,8,10,5,16,0,0,3,2,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,14,0,2,0,0,14,7,0,1,0,0,20,26,0,4,1,0,0,0,0,0,1,7,1,1,0,0,3,0,0,0,0,0,2,5,11,49,0,0,0,1,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,1,0,0,2,0,15,4,2,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,1,2,21,17,0,0,2,0,0,0,0,0
3300,0,0,0,0,1,0,0,0,0,0,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,5,0,2,3,0,6,2,10,0,0,1,0,0,0,0,2,5,11,13,0,0,6,2,0,0,0,0,7,5,25,137,0,0,10,13,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,9,0,8,0,0,0,0,0,0,1,1,0,0,0,0,1,11,0,1,0,0,1,0,0,0,0,0,2,0,1,15,0,0,1,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,1,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
