Elevation,Chhis_H,Chhis_C,Diord_H,Diord_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Peman_H,Peman_C,Penas_H,Penas_C,Pefas_H,Pefas_C,Peflave_H,Peflave_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Remon_H,Remon_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Socin_H,Socin_C,Sohoy_H,Sohoy_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimon_H,Mimon_C,Mioch_H,Mioch_C,Mipen_H,Mipen_C,Phint_H,Phint_C,Calat_H,Calat_C,Ictri_H,Ictri_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taumb_H,Taumb_C,Urele_H,Urele_C,Xespi_H,Xespi_C
1900,0,1,0,0,0,0,3,9,0,0,4,125,1,1,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,2,5,0,2,2,16,0,19,0,0,0,0,0,0
1950,0,0,0,0,0,0,2,0,0,0,10,12,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,13,0,0,0,0,0,0,0,0
2000,0,0,0,0,1,0,2,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,6,0,0,0,0,0,0,0
2050,0,0,0,0,1,0,1,0,0,0,27,27,9,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2100,0,0,0,0,0,0,5,1,0,0,31,174,8,1,0,0,0,0,0,0,0,18,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,16,0,9,0,7,0,0,0,0,1,2,0,0,4,0,3,0,2,0,3,0,18,2,1,1,1,0,0,0,0,0
2150,0,0,0,0,1,0,1,9,0,0,20,142,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,26,4,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,16,3,26,0,15,0,0,3,0,0,0
2200,0,0,0,0,0,0,0,0,0,0,2,252,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,7,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,1,1,6,3,0,19,0,5,1,0,0,0,0,0
2250,0,0,0,0,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,7,1,2,0,1,0,1,0,0,0,0,0
2300,0,0,0,0,11,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,30,1,0,0,6,0,0,0,4,1,9,0,56,3,4,0,17,2,0,0,0,0
2350,0,0,0,0,1,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,2,5,0,0
2400,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,2,0,8,8,4,7,0,0,1,18,17,4,0,0
2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,1,0,7,5,17,4,0,0,2,1,0,0,0,0
2500,0,0,0,0,10,0,22,0,0,0,69,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,16,0,0,0,12,0,10,0,11,0,48,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,17,1,29,0,1,0,15,0,11,0,0,0
2550,0,0,0,0,3,0,0,0,0,0,68,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,9,0,0,0,3,0,7,0,8,0,17,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,3,0,4,0,20,3,0,0,3,0,12,0,0,0
2600,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,4,4,0,0,1,0,0,2,0,0,4,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,6,0,0,11,0,0,3,2,0,0,0,0
2650,0,0,0,0,3,1,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,3,2,1,1,13,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,1,4,7,0,2,1,0,2,5,0,0,0
2700,0,0,0,0,3,2,0,0,0,0,30,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,0,2,2,0,12,2,21,1,7,1,0,0,0,0,2,1,14,24,0,0,2,0,0,0,0,0,9,20,11,36,5,0,5,2,0,0,0,0
2750,0,0,0,0,0,0,0,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,0,0,0,1,3,5,0,0,3,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,9,0,5,8,4,0,1,1,0,0,0,0
2800,0,0,0,0,2,3,0,0,0,0,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,19,10,0,1,0,0,3,7,0,0,21,0,9,5,6,1,0,16,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,16,19,12,24,0,0,6,7,0,0,0,0
2850,0,0,0,0,9,1,0,0,0,0,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,12,0,0,0,2,2,15,0,5,1,0,0,0,0,0,0,5,0,16,2,0,0,0,0,0,0,0,0,5,10,19,4,0,0,5,4,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,4,0,0,0,0
2950,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,0,4,0,0,1,4,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,12,0,0,0,0,0,0,0,0
3000,0,0,0,0,2,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,1,22,0,3,0,0,0,15,0,1,0,0,2,2,1,3,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,4,3,4,0,0,3,0,0,0,0,0
3050,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,2,0,0,0,3,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,6,2,12,0,0,0,2,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,14,0,2,0,0,14,7,0,1,0,0,20,0,0,4,1,0,0,0,0,0,1,6,1,1,0,0,3,0,0,0,0,0,2,5,10,40,0,0,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5,6,0,0,1,0,0,0,0,0
3250,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,1,0,0,2,0,15,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,2,16,11,0,0,1,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,1,3,0,0,2,0,0,0,0,0,0,0,0,1,1,2,6,0,0,2,0,0,0,0,0,0,1,8,12,0,0,1,2,0,0,0,0
3350,0,0,0,0,1,0,0,0,0,0,33,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,6,0,10,0,0,1,0,0,0,0,1,4,9,7,0,0,4,2,0,0,0,0,7,4,17,125,0,0,9,11,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3650,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
